id,firstname,lastname,phone,email,location
1,Matt,Rutherford,010-9138-4981,matt.rutherford@fastcampus.co.kr,Jeon-la
2,Benjamin,Ogden,010.3692.1102,benjamin.ogden@gmail.com,Chung-cheong
3,Penelope,James,010-4078-1277,penelope.james@gmail.com,Daegu
4,Jonathan,Campbell,1026866791,jonathan.campbell at gmail dot com,Incheon
5,John,Howard,010-9300-0398,john.howard@naver.net,Chung-cheong
6,Sophie,Pullman,1019699769,sophie.pullman at naver dot com,Jeon-la
7,Owen,Fisher,010-2376-9294,owen.fisher@gmail.com,Gang-won
8,Ryan,Reid,010-0628-4919,ryan.reid@gmail.com,Chung-cheong
9,Tracey,Clark,010-5041-6919,tracey.clark@gmail.com,Chung-cheong
10,Adam,Lee,010.0777.6573,adam.lee@gmail.com,Ulsan
11,Jasmine,Clark,1097786498,jasmine.clark at gmail dot com,Gyung-sang
12,Emma,Hart,010-0506-4726,emma.hart@gamil.com,Busan
13,David,Mitchell,1048562054,david.mitchell@gmail.com,Gyeon-gi
14,Mary,Alsop,010.9855.8071,mary.alsop@gmail.com,Jeon-la
15,Tracey,Marshall,010.5817.3912,tracey.marshall@gmail.com,Seoul
16,Warren,Simpson,010-6605-7375,warren.simpson@naver.com,Jeon-la
17,Bernadette,Hughes,1013100805,bernadette.hughes@gmail.com,Incheon
18,Victor,Randall,1008146533,victor.randall@hanmail.net,Gyeon-gi
19,Jane,Gray,010-2939-0184,jane.gray@gmail.com,Je-ju
20,Lucas,Grant,010-1917-3366,lucas.grant@gmail.com,Incheon
